,Currency,Rate,LOADINGDATA
0,US Dollar,1.0,2024-03-23 09:49:10.261834
1,Euro,0.922973,2024-03-23 09:49:10.261834
2,British Pound,0.793580,2024-03-23 09:49:10.261834
3,Indian Rupee,83.566171,2024-03-23 09:49:10.261834
4,Australian Dollar,1.534756,2024-03-23 09:49:10.261834
5,Canadian Dollar,1.361288,2024-03-23 09:49:10.261834
6,Singapore Dollar,1.348784,2024-03-23 09:49:10.261834
7,Swiss Franc,0.897696,2024-03-23 09:49:10.261834
8,Malaysian Ringgit,4.737628,2024-03-23 09:49:10.261834
9,Japanese Yen,151.393826,2024-03-23 09:49:10.261834
10,Chinese Yuan Renminbi,7.229195,2024-03-23 09:49:10.261834
11,Argentine Peso,851.882223,2024-03-23 09:49:10.261834
12,Bahraini Dinar,0.376000,2024-03-23 09:49:10.261834
13,Botswana Pula,13.647488,2024-03-23 09:49:10.261834
14,Brazilian Real,5.002116,2024-03-23 09:49:10.261834
15,Bruneian Dollar,1.348784,2024-03-23 09:49:10.261834
16,Bulgarian Lev,1.805178,2024-03-23 09:49:10.261834
17,Chilean Peso,983.197979,2024-03-23 09:49:10.261834
18,Colombian Peso,3891.338370,2024-03-23 09:49:10.261834
19,Czech Koruna,23.450043,2024-03-23 09:49:10.261834
20,Danish Krone,6.901026,2024-03-23 09:49:10.261834
21,Hong Kong Dollar,7.822233,2024-03-23 09:49:10.261834
22,Hungarian Forint,367.708099,2024-03-23 09:49:10.261834
23,Icelandic Krona,137.852513,2024-03-23 09:49:10.261834
24,Indonesian Rupiah,15806.860536,2024-03-23 09:49:10.261834
25,Iranian Rial,42026.406402,2024-03-23 09:49:10.261834
26,Israeli Shekel,3.641928,2024-03-23 09:49:10.261834
27,Kazakhstani Tenge,450.163207,2024-03-23 09:49:10.261834
28,South Korean Won,1344.547360,2024-03-23 09:49:10.261834
29,Kuwaiti Dinar,0.307920,2024-03-23 09:49:10.261834
30,Libyan Dinar,4.818715,2024-03-23 09:49:10.261834
31,Mauritian Rupee,46.296739,2024-03-23 09:49:10.261834
32,Mexican Peso,16.763192,2024-03-23 09:49:10.261834
33,Nepalese Rupee,133.768549,2024-03-23 09:49:10.261834
34,New Zealand Dollar,1.668432,2024-03-23 09:49:10.261834
35,Norwegian Krone,10.755989,2024-03-23 09:49:10.261834
36,Omani Rial,0.385013,2024-03-23 09:49:10.261834
37,Pakistani Rupee,278.204282,2024-03-23 09:49:10.261834
38,Philippine Peso,56.369389,2024-03-23 09:49:10.261834
39,Polish Zloty,3.997214,2024-03-23 09:49:10.261834
40,Qatari Riyal,3.640000,2024-03-23 09:49:10.261834
41,Romanian New Leu,4.600347,2024-03-23 09:49:10.261834
42,Russian Ruble,91.951410,2024-03-23 09:49:10.261834
43,Saudi Arabian Riyal,3.750000,2024-03-23 09:49:10.261834
44,South African Rand,18.991183,2024-03-23 09:49:10.261834
45,Sri Lankan Rupee,303.187698,2024-03-23 09:49:10.261834
46,Swedish Krona,10.568049,2024-03-23 09:49:10.261834
47,Taiwan New Dollar,31.973596,2024-03-23 09:49:10.261834
48,Thai Baht,36.269967,2024-03-23 09:49:10.261834
49,Trinidadian Dollar,6.790226,2024-03-23 09:49:10.261834
50,Turkish Lira,32.015078,2024-03-23 09:49:10.261834
51,Emirati Dirham,3.672500,2024-03-23 09:49:10.261834
52,Venezuelan Bolivar,3628389.234668,2024-03-23 09:49:10.261834
